X,Y
20,30
55,93
41,39
25,67
16,76
25,23
41,71
5,63
63,27
48,82
57,67
66,20
35,41
46,16
46,106
14,92
43,29
44,36
24,42
65,21
10,64
56,94
55,39
13,43
66,68
9,33
39,103
51,85
37,61
38,42
7,31
53,15
35,37
18,94
59,83
37,59
16,42
49,103
30,90
41,21
45,39
59,95
71,35
21,89
9,89
22,90
53,47
12,38
22,38
49,25
53,63
49,41
20,40
27,79
54,16
35,45
62,30
41,61
35,17
36,40
3,53
41,59
20,42
29,91
24,30
8,50
41,95
55,75
16,50
17,15
54,100
44,82
31,61
59,33
48,54
33,107
37,47
35,63
10,74
37,77
58,28
40,100
29,95
41,65
2,44
68,60
57,83
34,70
43,47
17,87
28,94
57,89
51,43
55,33
46,78
59,27
38,38
18,48
55,51
7,23
13,45
20,94
47,49
34,102
64,42
17,65
54,62
39,41
35,95
23,23
58,88
34,80
21,47
43,69
50,94
42,104
56,96
66,24
52,44
54,84
39,65
17,37
52,88
54,78
20,24
53,35
62,58
13,93
56,32
41,99
22,84
24,58
26,40
26,58
64,54
59,23
40,64
41,73
56,56
51,75
31,63
31,31
54,64
60,14
46,38
39,95
42,84
35,89
29,77
69,15
22,36
31,97
33,95
20,90
49,47
59,21
11,83
6,60
32,82
51,67
58,30
64,38
23,41
43,67
26,82
67,69
7,73
32,78
19,53
9,45
6,52
34,82
65,35
51,17
42,94
37,45
39,19
35,91
19,33
19,81
60,84
31,83
54,34
41,53
67,61
45,69
30,70
34,46
51,103
34,32
17,83
5,51
4,44
37,23
62,32
65,79
59,45
43,87
37,27
42,54
58,86
47,59
17,19
32,46
31,69
31,33
19,99
64,44
33,41
59,35
31,93
20,38
26,72
49,79
11,29
60,62
39,37
64,32
64,76
57,19
57,53
32,60
32,64
37,51
10,42
33,75
47,43
42,90
55,19
58,60
42,52
38,16
36,84
28,58
49,45
43,37
14,28
24,54
48,50
16,84
61,81
66,26
57,51
25,89
33,69
31,51
9,21
14,26
37,39
28,28
55,15
35,47
65,55
71,11
46,56
7,69
16,68
54,50
19,19
11,81
57,27
12,44
40,54
38,18
29,105
53,71
53,53
34,72
33,53
6,38
48,62
23,97
32,84
12,36
56,52
49,19
52,34
30,80
65,65
6,48
8,32
47,37
16,36
37,79
9,39
16,46
27,21
42,46
55,85
45,33
47,87
28,36
27,23
39,105
63,39
25,73
46,102
33,91
12,42
10,40
23,63
10,68
40,82
26,36
31,103
50,44
36,64
37,83
12,26
21,57
46,72
44,68
27,55
36,28
26,102
11,47
11,39
33,81
17,33
7,55
63,67
13,39
51,31
50,70
6,50
39,69
65,37
31,89
17,79
49,81
63,77
65,39
20,58
6,20
55,97
20,34
58,22
46,66
52,22
7,29
38,92
20,26
48,38
7,21
56,18
13,29
39,77
5,45
9,61
23,31
30,32
9,71
29,61
26,62
37,67
65,53
42,106
33,73
58,82
54,88
28,52
18,16
53,91
10,82
69,17
57,43
39,75
32,36
17,77
59,65
46,62
19,95
11,45
46,76
40,42
50,90
60,66
20,80
46,44
12,78
24,88
11,37
30,104
64,74
39,91
65,75
46,50
33,25
41,77
13,87
52,56
65,27
47,97
45,57
62,84
48,40
14,62
66,54
17,71
42,34
39,85
44,44
11,93
45,43
36,100
5,33
6,40
20,56
41,83
34,52
15,81
45,29
56,64
17,39
58,16
54,38
50,20
40,20
45,15
29,39
57,41
45,79
31,105
42,32
26,78
58,76
5,41
54,76
33,83
1,33
41,75
49,83
55,73
61,71
37,33
47,67
3,39
43,51
7,75
48,56
6,58
22,18
32,34
33,105
4,26
17,53
69,27
37,53
51,89
15,51
42,40
52,78
24,48
16,96
32,88
36,50
55,63
15,47
48,64
39,27
25,49
40,72
30,58
42,80
12,32
51,65
53,59
66,38
54,36
10,46
63,49
28,88
17,97
23,29
21,35
63,37
38,70
55,25
9,49
33,101
27,29
24,34
43,49
19,27
63,19
4,36
35,19
65,25
16,40
25,71
57,49
62,70
45,97
57,95
34,18
46,40
54,32
53,95
17,91
20,64
50,38
61,21
27,83
17,47
25,93
25,17
10,32
41,49
31,27
59,85
40,60
39,55
59,61
55,83
49,51
11,65
68,36
33,97
47,65
44,34
59,57
51,69
58,62
16,56
60,50
65,29
28,22
49,29
31,53
46,54
44,66
35,39
35,35
41,51
40,58
56,34
55,59
34,104
73,13
68,24
21,83
62,42
21,33
40,32
57,47
64,36
36,16
21,81
58,46
56,44
22,102
35,25
37,87
30,96
47,19
31,81
10,76
63,73
32,90
38,104
44,26
13,53
54,96
29,55
49,53
10,72
69,39
32,20
22,26
43,89
33,85
53,77
38,68
29,57
51,51
60,48
50,58
23,85
36,96
22,54
29,23
32,100
61,79
29,33
40,86
60,60
35,67
21,21
61,43
39,53
69,25
48,96
40,34
3,41
32,52
21,19
12,82
13,57
20,44
21,39
50,60
18,36
60,68
20,18
64,46
40,102
36,20
72,12
63,33
60,28
36,98
8,62
4,64
24,100
55,79
18,52
61,17
59,53
14,54
22,88
23,49
30,24
42,60
56,16
29,21
58,90
5,35
25,61
6,32
26,54
30,30
36,56
32,58
36,58
41,105
20,92
30,82
57,45
38,96
57,17
34,74
49,57
54,86
5,57
48,32
34,64
18,58
16,78
24,46
24,60
31,65
70,24
60,70
53,29
11,35
58,44
44,16
25,51
42,56
49,31
39,23
31,19
47,103
63,61
51,49
55,49
47,79
32,48
28,20
45,59
30,92
52,28
33,49
68,18
23,45
38,62
15,93
48,72
31,73
61,41
28,72
30,42
26,34
46,48
58,36
22,24
64,62
17,29
12,70
57,29
18,84
35,99
40,40
63,53
30,36
61,53
31,79
40,70
31,57
61,63
64,14
6,26
8,76
26,60
34,56
30,48
27,69
34,34
8,36
23,75
44,80
58,18
33,27
18,86
33,19
70,36
6,42
18,64
22,76
25,53
32,32
56,74
34,84
53,99
47,81
50,64
28,98
51,53
52,100
29,89
56,70
62,46
46,84
41,41
47,21
40,76
26,32
30,20
10,88
12,90
38,30
49,95
15,69
56,92
30,62
29,45
45,99
58,32
57,15
72,30
37,55
57,37
8,48
47,75
50,80
15,31
9,37
45,37
19,61
31,29
19,89
65,73
29,63
28,74
17,41
25,87
6,76
30,28
33,79
45,23
32,74
49,105
58,96
59,71
40,88
10,56
57,23
10,90
27,77
12,56
37,25
56,38
27,19
22,40
53,83
47,77
43,23
52,54
10,62
54,46
9,31
57,25
27,67
46,30
23,43
48,66
29,99
44,98
34,54
18,40
22,64
14,34
49,87
20,78
54,80
12,94
13,23
20,52
65,43
21,37
47,95
56,84
34,94
51,83
41,79
15,23
40,98
40,36
10,44
3,23
32,80
3,47
51,35
15,45
21,91
25,29
45,93
43,99
32,96
39,71
32,66
45,107
32,68
65,67
21,65
34,98
7,79
11,73
35,83
66,36
66,50
35,101
66,62
33,47
44,22
37,95
46,68
62,16
18,54
41,91
7,63
16,94
5,39
42,38
55,65
19,85
58,58
47,57
45,41
30,84
55,43
42,24
28,54
28,50
64,50
31,41
48,44
38,34
16,34
60,90
30,60
6,66
42,22
38,46
42,18
42,16
24,74
68,20
40,90
35,85
19,67
29,81
43,19
54,52
20,76
51,71
21,87
45,75
62,34
57,63
16,20
20,70
52,82
46,46
60,32
50,40
31,67
27,41
22,70
12,54
12,66
43,43
53,21
11,17
42,76
52,90
5,55
70,26
45,95
57,61
66,72
64,70
21,41
38,66
62,26
62,66
9,17
39,35
14,46
20,68
26,18
62,80
7,19
58,20
37,73
6,68
29,41
50,78
22,86
66,56
44,58
39,61
28,76
26,38
55,47
51,55
7,43
60,82
19,51
23,27
8,46
15,73
18,72
47,89
68,62
13,79
71,25
48,100
8,68
7,59
52,74
37,29
50,74
23,55
11,91
59,91
38,58
5,43
34,86
35,33
29,79
10,50
43,93
11,57
30,18
34,30
9,23
61,15
11,53
21,73
59,63
53,97
36,18
29,87
65,59
65,49
24,36
31,21
44,86
36,44
49,61
